experiment_id,condition_order_index,condition_id,condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs,R_roll,R_pitch,R_yaw
EX0521-092111,8,C16,rest,6335,6335,0,566119.092,0.684,-0.677,0.194,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,0.075,0.004,0.060,-0.040,-0.020,0.016,0.995,0.012,-0.002,-0.004,0.004,0.000,0.000,0.000,0.000,0,2,0,2,7,255,1200,300,0,0,-89.580,0.613,-31.283
EX0521-092111,8,C16,rest,6335,6335,0,566124.092,0.684,-0.677,0.194,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,0.045,0.007,0.000,-0.040,-0.020,0.015,0.994,0.011,0.006,-0.004,0.004,0.000,0.000,0.000,0.000,0,2,0,2,7,255,1200,300,0,0,-89.580,0.613,-31.283
EX0521-092111,8,C16,rest,6335,6335,0,566129.092,0.684,-0.677,0.194,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,0.045,0.007,0.000,-0.040,-0.020,0.014,0.994,0.011,0.006,-0.004,0.000,0.000,0.000,0.000,0.000,0,2,0,2,7,255,1200,300,0,0,-89.580,0.613,-31.283
EX0521-092111,8,C16,rest,6335,6335,0,566134.092,0.684,-0.677,0.194,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,0.122,0.006,0.000,-0.120,-0.020,0.016,0.993,0.011,0.006,-0.002,-0.006,0.000,0.000,0.000,0.000,0,2,0,2,7,255,1200,300,0,0,-89.581,0.615,-31.283
EX0521-092111,8,C16,rest,6335,6335,0,566139.092,0.684,-0.677,0.194,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,0.066,0.002,0.060,0.020,-0.020,0.014,0.995,0.011,0.000,0.002,-0.006,0.000,0.000,0.000,0.000,0,2,0,2,7,255,1200,300,0,0,-89.581,0.615,-31.283
EX0521-092111,8,C16,rest,6335,6335,0,566144.094,0.684,-0.677,0.194,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,0.075,0.004,-0.060,-0.040,-0.020,0.015,0.995,0.012,0.004,-0.002,0.004,0.000,0.000,0.000,0.000,0,2,0,2,7,255,1200,300,0,0,-89.581,0.615,-31.283
EX0521-092111,8,C16,rest,6367,6367,0,566149.091,0.684,-0.677,0.194,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,0.045,0.003,0.000,-0.040,-0.020,0.014,0.995,0.011,-0.002,0.002,0.008,0.000,0.000,0.000,0.000,0,2,0,2,7,255,1200,300,0,0,-89.581,0.614,-31.283
EX0521-092111,8,C16,rest,6367,6367,0,566154.093,0.684,-0.677,0.194,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,0.045,0.007,0.000,-0.040,-0.020,0.016,0.995,0.011,0.004,-0.006,0.004,0.000,0.000,0.000,0.000,0,2,0,2,7,255,1200,300,0,0,-89.581,0.614,-31.283
EX0521-092111,8,C16,rest,6367,6367,0,566159.093,0.684,-0.677,0.194,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,0.063,0.004,0.000,-0.060,-0.020,0.015,0.994,0.012,0.000,-0.004,0.004,0.000,0.000,0.000,0.000,0,2,0,2,7,255,1200,300,0,0,-89.581,0.614,-31.283
EX0521-092111,8,C16,rest,6367,6367,0,566164.093,0.684,-0.677,0.194,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,0.128,0.007,-0.080,-0.060,-0.080,0.015,0.994,0.011,0.006,-0.004,-0.002,0.000,0.000,0.000,0.000,0,2,0,2,7,255,1200,300,0,0,-89.582,0.614,-31.283
