experiment_id,condition_order_index,condition_id,condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs,R_roll,R_pitch,R_yaw
EX0521-092111,25,C07,prep,30,30,0,1215909.091,0.686,-0.675,0.196,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,0.471,0.028,0.460,-0.020,-0.100,0.014,0.990,0.012,0.014,0.024,0.032,0.000,0.000,0.000,0.000,0,2,0,3,7,255,960,200,0,0,-89.360,0.846,-31.485
EX0521-092111,25,C07,prep,30,30,0,1215914.092,0.686,-0.675,0.196,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,0.350,0.007,-0.340,-0.020,0.080,0.014,0.992,0.015,-0.004,-0.006,-0.010,0.000,0.000,0.000,0.000,0,2,0,3,7,255,960,200,0,0,-89.360,0.846,-31.485
EX0521-092111,25,C07,prep,30,30,0,1215919.092,0.686,-0.675,0.196,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,0.060,0.007,-0.040,-0.020,-0.040,0.014,1.001,0.007,-0.004,-0.006,-0.010,0.000,0.000,0.000,0.000,0,2,0,3,7,255,960,200,0,0,-89.360,0.846,-31.485
EX0521-092111,25,C07,prep,30,30,0,1215924.092,0.686,-0.675,0.196,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,0.279,0.006,0.260,-0.020,-0.100,0.015,0.989,0.011,0.006,0.000,-0.010,0.000,0.000,0.000,0.000,0,2,0,3,7,255,960,200,0,0,-89.360,0.846,-31.485
EX0521-092111,25,C07,prep,31,31,0,1215929.092,0.686,-0.675,0.196,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,0.539,0.006,-0.520,-0.020,0.140,0.013,0.992,0.014,0.006,0.000,-0.016,0.000,0.000,0.000,0.000,0,2,0,3,7,255,960,200,0,0,-89.360,0.846,-31.485
EX0521-092111,25,C07,prep,31,31,0,1215934.091,0.686,-0.675,0.196,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,0.540,0.006,0.460,0.040,-0.280,0.012,0.999,0.009,-0.006,0.000,-0.016,0.000,0.000,0.000,0.000,0,2,0,3,7,255,960,200,0,0,-89.360,0.846,-31.485
EX0521-092111,25,C07,prep,31,31,0,1215939.091,0.686,-0.675,0.196,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,0.092,0.013,-0.040,-0.020,0.080,0.015,0.985,0.014,-0.006,-0.012,-0.016,0.000,0.000,0.000,0.000,0,2,0,3,7,255,960,200,0,0,-89.360,0.846,-31.485
EX0521-092111,25,C07,prep,31,31,0,1215944.092,0.686,-0.675,0.196,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,0.563,0.006,-0.520,-0.080,0.200,0.014,0.999,0.012,-0.004,-0.004,0.050,0.000,0.000,0.000,0.000,0,2,0,3,7,255,960,200,0,0,-89.360,0.846,-31.485
EX0521-092111,25,C07,prep,47,47,0,1215949.091,0.686,-0.675,0.196,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,1.156,0.004,1.060,0.040,-0.460,0.015,0.991,0.011,-0.002,-0.004,-0.024,0.000,0.000,0.000,0.000,0,2,0,3,7,255,960,200,0,0,-89.365,0.846,-31.485
EX0521-092111,25,C07,prep,47,47,0,1215954.092,0.686,-0.675,0.196,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,1.327,0.004,-1.200,-0.080,0.560,0.013,0.993,0.011,-0.004,-0.002,-0.006,0.000,0.000,0.000,0.000,0,2,0,3,7,255,960,200,0,0,-89.359,0.846,-31.485
