experiment_id,condition_order_index,condition_id,condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs,R_roll,R_pitch,R_yaw
EX0521-092111,5,C09,prep,60,60,0,454929.092,0.685,-0.677,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,2.137,0.014,1.880,0.180,-1.000,0.015,0.990,0.010,0.010,0.010,-0.048,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,250,0,0,-89.534,0.578,-31.154
EX0521-092111,5,C09,prep,60,60,0,454934.092,0.685,-0.677,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,2.212,0.015,-1.960,-0.360,0.960,0.014,0.993,0.010,0.006,0.014,-0.018,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,250,0,0,-89.524,0.583,-31.154
EX0521-092111,5,C09,prep,60,60,0,454939.091,0.685,-0.677,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,2.110,0.015,1.880,0.180,-0.940,0.013,1.006,0.011,0.006,0.014,-0.018,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,250,0,0,-89.534,0.578,-31.154
EX0521-092111,5,C09,prep,60,60,0,454944.091,0.685,-0.677,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,1.904,0.015,-1.720,-0.240,0.780,0.017,0.983,0.014,0.006,0.014,-0.018,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,250,0,0,-89.524,0.582,-31.154
EX0521-092111,5,C09,prep,61,61,0,454949.092,0.685,-0.677,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.974,0.014,0.920,0.000,-0.320,0.015,1.004,0.010,0.008,0.012,0.090,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,250,0,0,-89.529,0.582,-31.154
EX0521-092111,5,C09,prep,61,61,0,454954.092,0.685,-0.677,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.197,0.012,-0.180,0.000,-0.080,0.016,0.992,0.011,0.012,-0.002,-0.028,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,250,0,0,-89.529,0.583,-31.154
EX0521-092111,5,C09,prep,62,62,0,454959.094,0.685,-0.677,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.804,0.008,-0.620,-0.180,0.480,0.016,0.988,0.015,0.008,-0.002,-0.028,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,250,0,0,-89.521,0.584,-31.154
EX0521-092111,5,C09,prep,62,62,0,454964.092,0.685,-0.677,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,1.756,0.012,1.520,0.180,-0.860,0.014,1.005,0.008,0.012,-0.002,-0.028,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,250,0,0,-89.529,0.580,-31.154
EX0521-092111,5,C09,prep,63,63,0,454969.092,0.685,-0.677,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,2.124,0.030,-1.900,-0.300,0.900,0.016,0.986,0.015,-0.004,-0.030,-0.066,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,250,0,0,-89.517,0.585,-31.154
EX0521-092111,5,C09,prep,63,63,0,454974.092,0.685,-0.677,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,1.222,0.016,1.160,0.060,-0.380,0.014,0.999,0.010,0.004,0.016,0.044,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,250,0,0,-89.523,0.584,-31.154
EX0521-092111,5,C09,prep,63,63,0,454979.093,0.685,-0.677,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.278,0.016,-0.240,0.000,-0.140,0.014,0.996,0.008,0.004,0.016,0.014,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,250,0,0,-89.524,0.584,-31.154
EX0521-092111,5,C09,prep,63,63,0,454984.091,0.685,-0.677,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,1.132,0.016,-0.980,-0.300,0.480,0.014,0.990,0.015,0.004,0.016,0.014,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,250,0,0,-89.517,0.584,-31.154
EX0521-092111,5,C09,prep,88,88,0,454989.091,0.685,-0.677,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,2.176,0.020,2.020,0.120,-0.800,0.015,0.997,0.010,0.014,0.014,0.014,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,250,0,0,-89.528,0.579,-31.154
EX0521-092111,5,C09,prep,88,88,0,454994.092,0.685,-0.677,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,1.843,0.021,-1.720,-0.060,0.660,0.015,0.995,0.007,0.016,0.014,0.000,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,250,0,0,-89.519,0.583,-31.154
EX0521-092111,5,C09,prep,89,89,0,454999.092,0.685,-0.677,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.231,0.021,-0.180,-0.120,-0.080,0.015,0.995,0.015,0.016,0.014,0.006,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,250,0,0,-89.513,0.583,-31.154
EX0521-092111,5,C09,prep,89,89,0,455004.091,0.685,-0.677,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,1.510,0.016,1.460,-0.060,-0.380,0.016,0.991,0.012,0.012,-0.010,0.000,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,250,0,0,-89.521,0.583,-31.154
EX0521-092111,5,C09,prep,89,89,0,455009.091,0.685,-0.677,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.735,0.016,-0.680,0.000,0.280,0.013,1.001,0.006,0.012,-0.010,0.006,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,250,0,0,-89.518,0.583,-31.154
EX0521-092111,5,C09,prep,89,89,0,455014.092,0.685,-0.677,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.801,0.016,-0.800,0.000,0.040,0.014,0.994,0.015,0.012,-0.010,-0.010,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,250,0,0,-89.509,0.582,-31.154
EX0521-092111,5,C09,prep,95,95,0,455019.093,0.685,-0.677,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.570,0.017,0.540,-0.180,-0.020,0.016,0.988,0.013,0.010,-0.014,-0.010,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,250,0,0,-89.509,0.584,-31.154
EX0521-092111,5,C09,prep,95,95,0,455024.092,0.685,-0.677,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,1.412,0.017,1.340,-0.060,-0.440,0.014,1.001,0.005,0.010,-0.014,-0.010,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,250,0,0,-89.516,0.583,-31.154
EX0521-092111,5,C09,prep,117,117,0,455029.091,0.685,-0.677,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,2.165,0.012,-2.080,0.000,0.600,0.015,0.990,0.011,0.010,0.006,-0.044,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,250,0,0,-89.506,0.586,-31.154
EX0521-092111,5,C09,prep,117,117,0,455034.091,0.685,-0.677,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.236,0.008,0.180,-0.060,-0.140,0.014,0.995,0.016,0.006,0.006,0.000,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,250,0,0,-89.500,0.586,-31.154
EX0521-092111,5,C09,prep,118,118,0,455039.092,0.685,-0.677,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,1.278,0.008,1.220,0.000,-0.380,0.014,0.995,0.009,0.006,0.006,0.000,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,250,0,0,-89.506,0.585,-31.154
EX0521-092111,5,C09,prep,118,118,0,455044.092,0.685,-0.677,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,1.035,0.029,-0.980,-0.180,0.280,0.013,0.998,0.007,0.012,0.026,0.000,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,250,0,0,-89.502,0.585,-31.154
EX0521-092111,5,C09,prep,127,127,0,455049.091,0.685,-0.677,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.271,0.029,-0.240,-0.120,0.040,0.014,0.994,0.015,0.012,0.026,0.000,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,250,0,0,-89.496,0.585,-31.154
EX0521-092111,5,C09,prep,127,127,0,455054.091,0.685,-0.677,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.733,0.008,0.720,0.000,-0.140,0.015,0.992,0.012,0.008,0.000,-0.010,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,250,0,0,-89.500,0.586,-31.154
EX0521-092111,5,C09,prep,187,187,0,455059.092,0.685,-0.677,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.087,0.008,-0.060,0.060,-0.020,0.014,1.000,0.007,0.008,0.000,-0.010,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,250,0,0,-89.501,0.586,-31.154
EX0521-092111,5,C09,prep,187,187,0,455064.092,0.685,-0.677,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.818,0.008,-0.800,-0.060,0.160,0.014,0.991,0.014,0.008,0.000,-0.028,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,250,0,0,-89.495,0.585,-31.154
EX0521-092111,5,C09,prep,187,187,0,455069.093,0.685,-0.677,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.546,0.012,0.540,0.000,-0.080,0.013,0.995,0.012,-0.010,0.006,0.000,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,250,0,0,-89.496,0.585,-31.154
EX0521-092111,5,C09,prep,187,187,0,455074.091,0.685,-0.677,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.588,0.012,0.540,-0.120,-0.200,0.014,0.997,0.007,-0.010,0.006,0.000,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,250,0,0,-89.496,0.585,-31.154
EX0521-092111,5,C09,prep,187,187,0,455079.094,0.685,-0.677,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,1.084,0.010,-1.040,-0.120,0.280,0.014,0.993,0.013,-0.008,0.006,0.000,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,250,0,0,-89.491,0.585,-31.154
EX0521-092111,5,C09,prep,187,187,0,455084.092,0.685,-0.677,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.331,0.008,0.300,0.000,-0.140,0.015,0.994,0.014,-0.006,-0.006,-0.010,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,250,0,0,-89.491,0.584,-31.154
EX0521-092111,5,C09,prep,187,187,0,455089.092,0.685,-0.677,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.616,0.008,0.600,0.000,-0.140,0.015,0.994,0.009,-0.006,-0.006,-0.010,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,250,0,0,-89.495,0.584,-31.154
EX0521-092111,5,C09,prep,187,187,0,455094.091,0.685,-0.677,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.825,0.020,-0.800,-0.120,0.160,0.014,0.997,0.010,0.008,0.018,-0.006,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,250,0,0,-89.491,0.584,-31.154
EX0521-092111,5,C09,prep,188,188,0,455099.091,0.685,-0.677,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.100,0.020,0.000,-0.060,-0.080,0.015,0.993,0.014,0.008,0.018,-0.006,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,250,0,0,-89.487,0.583,-31.154
EX0521-092111,5,C09,prep,188,188,0,455104.093,0.685,-0.677,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.490,0.020,0.480,-0.060,-0.080,0.015,0.995,0.010,0.008,0.018,0.004,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,250,0,0,-89.487,0.585,-31.154
EX0521-092111,5,C09,prep,189,189,0,455109.092,0.685,-0.677,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.191,0.023,-0.180,-0.060,-0.020,0.014,0.997,0.009,0.014,0.018,0.004,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,250,0,0,-89.487,0.584,-31.154
EX0521-092111,5,C09,prep,189,189,0,455114.091,0.685,-0.677,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.326,0.023,-0.300,-0.120,0.040,0.016,0.991,0.013,0.014,0.018,0.004,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,250,0,0,-89.488,0.586,-31.154
EX0521-092111,5,C09,prep,223,223,0,455119.092,0.685,-0.677,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.432,0.018,0.420,-0.060,-0.080,0.014,0.995,0.011,0.008,0.016,0.000,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,250,0,0,-89.488,0.585,-31.154
EX0521-092111,5,C09,prep,223,223,0,455124.092,0.685,-0.677,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.117,0.018,0.060,-0.060,-0.080,0.014,0.996,0.008,0.008,0.016,0.000,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,250,0,0,-89.488,0.585,-31.154
EX0521-092111,5,C09,prep,223,223,0,455129.092,0.685,-0.677,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.581,0.016,-0.560,-0.120,0.100,0.015,0.992,0.012,0.004,0.016,0.000,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,250,0,0,-89.488,0.585,-31.154
EX0521-092111,5,C09,prep,223,223,0,455134.092,0.685,-0.677,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.391,0.004,0.360,-0.060,-0.140,0.015,0.995,0.012,0.004,0.002,0.000,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,250,0,0,-89.489,0.584,-31.154
EX0521-092111,5,C09,prep,223,223,0,455139.091,0.685,-0.677,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.253,0.004,0.240,0.000,-0.080,0.014,0.996,0.009,0.004,0.002,0.000,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,250,0,0,-89.489,0.584,-31.154
EX0521-092111,5,C09,prep,223,223,0,455144.091,0.685,-0.677,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.524,0.004,-0.500,-0.120,0.100,0.014,0.995,0.012,0.004,0.002,0.004,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,250,0,0,-89.489,0.584,-31.154
EX0521-092111,5,C09,prep,248,248,0,455149.092,0.685,-0.677,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.206,0.008,0.180,-0.060,-0.080,0.016,0.994,0.012,0.008,0.000,0.004,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,250,0,0,-89.490,0.585,-31.154
EX0521-092111,5,C09,prep,248,248,0,455154.092,0.685,-0.677,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.248,0.006,0.240,0.060,-0.020,0.014,0.994,0.010,0.006,0.000,-0.004,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,250,0,0,-89.490,0.585,-31.154
EX0521-092111,5,C09,prep,248,248,0,455159.093,0.685,-0.677,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.307,0.013,-0.300,-0.060,-0.020,0.014,0.997,0.011,0.006,0.012,-0.004,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,250,0,0,-89.490,0.585,-31.154
EX0521-092111,5,C09,prep,248,248,0,455164.091,0.685,-0.677,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.087,0.013,-0.060,-0.060,-0.020,0.015,0.994,0.013,0.004,0.012,-0.004,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,250,0,0,-89.491,0.586,-31.154
EX0521-092111,5,C09,prep,271,271,0,455169.091,0.685,-0.677,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.369,0.008,0.360,0.000,-0.080,0.014,0.996,0.011,0.002,0.008,0.010,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,250,0,0,-89.491,0.585,-31.154
EX0521-092111,5,C09,prep,271,271,0,455174.092,0.685,-0.677,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.156,0.008,-0.120,-0.060,-0.080,0.015,0.996,0.010,0.002,0.008,0.010,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,250,0,0,-89.491,0.585,-31.154
EX0521-092111,5,C09,prep,271,271,0,455179.093,0.685,-0.677,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.271,0.008,-0.240,-0.120,0.040,0.014,0.993,0.012,0.002,0.008,0.010,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,250,0,0,-89.491,0.585,-31.154
EX0521-092111,5,C09,prep,271,271,0,455184.091,0.685,-0.677,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.432,0.010,0.420,-0.060,-0.080,0.014,0.996,0.011,-0.002,0.010,0.010,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,250,0,0,-89.492,0.585,-31.154
