t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs,L_roll,L_pitch,L_yaw,L_relativeRoll,L_relativePitch,L_relativeYaw
16669.816,0.999,0.010,0.002,-0.042,87,96,57,71,37,3,41,38,0,0.000,0,0,0.102,0.011,0.100,-0.020,0.000,0.004,-0.020,1.004,0.008,-0.008,0.008,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.118,0.151,4.822,1.118,0.151,4.822
16674.816,0.999,0.010,0.002,-0.042,55,91,55,41,42,5,57,19,0,0.000,0,0,0.057,0.011,0.040,0.040,0.000,0.004,-0.017,1.003,0.008,-0.008,0.008,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.118,0.151,4.822,1.118,0.151,4.822
16679.816,0.999,0.010,0.002,-0.042,61,81,89,77,27,0,54,49,0,0.000,0,0,0.141,0.008,-0.140,-0.020,0.000,0.004,-0.019,1.002,0.006,0.006,-0.002,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.118,0.151,4.822,1.118,0.151,4.822
16684.816,0.999,0.010,0.002,-0.042,70,101,63,53,29,7,51,37,0,0.000,0,0,0.210,0.008,-0.200,-0.020,-0.060,0.005,-0.021,1.002,0.006,0.006,-0.006,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.118,0.151,4.822,1.118,0.151,4.822
16689.818,0.999,0.010,0.002,-0.042,77,87,67,81,30,0,39,45,0,0.000,0,0,0.108,0.007,0.100,0.040,0.000,0.004,-0.020,1.005,0.006,-0.004,-0.006,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.118,0.151,4.822,1.118,0.151,4.822
16694.816,0.999,0.010,0.002,-0.042,59,74,90,69,29,5,81,53,0,0.000,0,0,0.082,0.007,0.040,0.040,-0.060,0.004,-0.017,1.003,0.006,-0.004,-0.002,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.118,0.151,4.822,1.118,0.151,4.822
16699.816,0.999,0.010,0.002,-0.042,87,102,58,47,42,9,42,21,0,0.000,0,0,0.141,0.008,-0.140,-0.020,0.000,0.004,-0.019,1.001,0.006,0.006,-0.002,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.118,0.151,4.822,1.118,0.151,4.822
16704.816,0.999,0.010,0.002,-0.042,59,71,93,54,55,19,77,43,0,0.000,0,0,0.128,0.006,-0.080,-0.080,0.060,0.004,-0.019,1.002,0.002,0.006,-0.012,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.118,0.151,4.822,1.118,0.151,4.822
16709.816,0.999,0.010,0.002,-0.042,79,101,63,71,43,5,38,40,0,0.000,0,0,0.045,0.006,-0.020,0.040,0.000,0.004,-0.021,1.004,0.006,0.000,-0.012,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.118,0.151,4.822,1.118,0.151,4.822
16714.816,0.999,0.010,0.002,-0.042,55,62,83,37,44,8,80,44,0,0.000,0,0,0.057,0.002,0.040,0.040,0.000,0.004,-0.018,1.005,0.002,0.000,0.012,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.118,0.151,4.822,1.118,0.151,4.822
16719.816,0.999,0.010,0.002,-0.042,83,74,61,73,22,0,43,57,0,0.000,0,0,0.082,0.004,-0.080,-0.020,0.000,0.004,-0.020,1.002,0.002,-0.004,0.012,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.118,0.151,4.822,1.118,0.151,4.822
16724.816,0.999,0.010,0.002,-0.042,89,79,93,91,37,0,77,55,0,0.000,0,0,0.102,0.010,-0.080,-0.020,-0.060,0.004,-0.018,1.001,0.002,0.010,-0.008,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.118,0.151,4.822,1.118,0.151,4.822
16729.818,0.999,0.010,0.002,-0.042,87,69,60,80,23,0,42,47,0,0.000,0,0,0.075,0.006,-0.020,0.040,-0.060,0.004,-0.019,1.003,0.006,0.000,-0.008,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.118,0.151,4.822,1.118,0.151,4.822
16734.816,0.999,0.010,0.002,-0.042,60,71,82,73,22,0,91,44,0,0.000,0,0,0.089,0.012,-0.080,0.040,0.000,0.004,-0.018,1.005,0.006,0.010,0.002,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.118,0.151,4.822,1.118,0.151,4.822
16739.816,0.999,0.010,0.002,-0.042,73,63,83,71,52,0,51,43,0,0.000,0,0,0.045,0.006,-0.020,0.040,0.000,0.004,-0.019,1.004,0.006,0.000,0.008,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.118,0.151,4.822,1.118,0.151,4.822
16744.816,0.999,0.010,0.002,-0.042,72,102,64,47,57,8,71,29,0,0.000,0,0,0.089,0.012,-0.080,0.040,0.000,0.005,-0.018,1.002,0.006,0.010,0.008,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.118,0.151,4.822,1.118,0.151,4.822
16749.816,0.999,0.010,0.002,-0.042,57,93,83,45,43,6,92,22,0,0.000,0,0,0.146,0.008,-0.140,0.040,0.000,0.004,-0.019,1.003,0.006,0.006,-0.002,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.118,0.151,4.822,1.118,0.151,4.822
16754.816,0.999,0.010,0.002,-0.042,80,95,59,62,19,0,47,43,0,0.000,0,0,0.146,0.008,-0.140,0.040,0.000,0.004,-0.020,1.003,0.006,0.006,-0.002,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.118,0.151,4.822,1.118,0.151,4.822
16759.816,0.999,0.010,0.002,-0.042,91,99,61,75,23,7,41,53,0,0.000,0,0,0.028,0.006,-0.020,-0.020,0.000,0.004,-0.019,1.004,0.006,0.000,0.002,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.118,0.151,4.822,1.118,0.151,4.822
16764.816,0.999,0.010,0.002,-0.042,87,99,67,57,51,2,51,24,0,0.000,0,0,0.123,0.007,0.100,0.040,-0.060,0.004,-0.020,1.003,0.006,-0.004,0.002,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.118,0.151,4.822,1.118,0.151,4.822
16769.816,0.999,0.010,0.002,-0.042,83,99,69,74,22,0,43,55,0,0.000,0,0,0.045,0.006,-0.020,0.040,0.000,0.003,-0.018,1.002,0.006,0.000,-0.002,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.118,0.151,4.822,1.118,0.151,4.822
16774.816,0.999,0.010,0.002,-0.042,84,96,55,63,36,1,39,39,0,0.000,0,0,0.045,0.004,-0.020,0.040,0.000,0.004,-0.019,1.003,0.000,0.004,-0.002,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.118,0.151,4.822,1.118,0.151,4.822
16779.816,0.999,0.010,0.002,-0.042,59,101,61,41,45,27,57,24,0,0.000,0,0,0.082,0.006,-0.080,-0.020,0.000,0.003,-0.019,1.004,-0.004,0.004,0.002,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.118,0.151,4.822,1.118,0.151,4.822
16784.816,0.999,0.010,0.002,-0.042,89,101,59,48,48,9,68,23,0,0.000,0,0,0.028,0.000,-0.020,-0.020,0.000,0.004,-0.020,1.002,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.118,0.151,4.822,1.118,0.151,4.822
16789.818,0.999,0.010,0.002,-0.042,85,97,64,83,37,0,47,43,0,0.000,0,0,0.082,0.000,0.040,0.040,-0.060,0.004,-0.017,1.003,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.118,0.151,4.822,1.118,0.151,4.822
16794.816,0.999,0.010,0.002,-0.042,53,79,91,41,39,3,73,41,0,0.000,0,0,0.082,0.002,-0.080,-0.020,0.000,0.005,-0.019,1.003,0.002,0.000,0.002,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.118,0.151,4.822,1.118,0.151,4.822
16799.816,0.999,0.010,0.002,-0.042,87,101,73,70,23,0,37,46,0,0.000,0,0,0.075,0.011,-0.020,0.040,-0.060,0.004,-0.018,1.004,0.004,0.010,0.002,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.118,0.151,4.822,1.118,0.151,4.822
16804.816,0.999,0.010,0.002,-0.042,101,103,63,81,29,11,45,30,0,0.000,0,0,0.066,0.006,-0.020,-0.020,-0.060,0.004,-0.019,1.003,0.004,0.004,0.002,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.118,0.151,4.822,1.118,0.151,4.822
16809.816,0.999,0.010,0.002,-0.042,58,73,83,45,49,10,74,25,0,0.000,0,0,0.045,0.006,-0.020,0.040,0.000,0.005,-0.019,1.002,0.004,0.004,0.002,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.118,0.151,4.822,1.118,0.151,4.822
16814.816,0.999,0.010,0.002,-0.042,80,94,58,71,20,5,39,27,0,0.000,0,0,0.082,0.006,-0.080,-0.020,0.000,0.004,-0.019,1.003,0.004,0.004,0.002,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.118,0.151,4.822,1.118,0.151,4.822
16819.816,0.999,0.010,0.002,-0.042,45,67,87,68,55,16,75,2,0,0.000,0,0,0.089,0.011,-0.080,0.040,0.000,0.005,-0.018,1.003,0.010,0.004,-0.002,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.118,0.151,4.822,1.118,0.151,4.822
16824.816,0.999,0.010,0.002,-0.042,63,75,95,85,36,3,59,55,0,0.000,0,0,0.141,0.011,-0.140,-0.020,0.000,0.004,-0.018,1.004,0.004,0.010,0.002,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.118,0.151,4.822,1.118,0.151,4.822
16829.818,0.999,0.010,0.002,-0.042,52,69,88,50,38,11,72,43,0,0.000,0,0,0.045,0.011,-0.020,0.040,0.000,0.003,-0.020,1.002,0.004,0.010,-0.002,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.118,0.151,4.822,1.118,0.151,4.822
16834.816,0.999,0.010,0.002,-0.042,61,59,84,59,37,7,74,34,0,0.000,0,0,0.028,0.008,-0.020,-0.020,0.000,0.004,-0.018,1.002,0.000,0.008,-0.008,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.118,0.151,4.822,1.118,0.151,4.822
16839.816,0.999,0.010,0.002,-0.042,54,75,78,41,58,4,63,24,0,0.000,0,0,0.082,0.006,0.040,0.040,-0.060,0.004,-0.020,1.003,0.000,-0.006,-0.008,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.118,0.151,4.822,1.118,0.151,4.822
16844.816,0.999,0.010,0.002,-0.042,92,102,68,72,46,12,77,31,0,0.000,0,0,0.089,0.006,-0.080,0.040,0.000,0.004,-0.019,1.003,0.004,0.004,-0.002,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.118,0.151,4.822,1.118,0.151,4.822
16849.816,0.999,0.010,0.002,-0.042,68,59,87,60,55,10,71,45,0,0.000,0,0,0.028,0.006,-0.020,-0.020,0.000,0.005,-0.019,1.004,0.006,0.000,-0.002,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.118,0.151,4.822,1.118,0.151,4.822
16854.816,0.999,0.010,0.002,-0.042,73,75,77,68,19,0,39,46,0,0.000,0,0,0.028,0.004,-0.020,-0.020,0.000,0.004,-0.019,1.002,0.004,0.000,-0.002,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.118,0.151,4.822,1.118,0.151,4.822
16859.816,0.999,0.010,0.002,-0.042,61,99,58,47,43,5,58,28,0,0.000,0,0,0.028,0.004,-0.020,-0.020,0.000,0.004,-0.019,1.002,0.004,0.000,-0.008,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.118,0.151,4.822,1.118,0.151,4.822
16864.816,0.999,0.010,0.002,-0.042,85,100,73,79,30,0,47,60,0,0.000,0,0,0.028,0.004,-0.020,-0.020,0.000,0.005,-0.020,1.003,0.004,0.000,-0.008,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.118,0.151,4.822,1.118,0.151,4.822
16869.816,0.999,0.010,0.002,-0.042,48,65,85,43,51,10,71,37,0,0.000,0,0,0.075,0.004,-0.020,0.040,-0.060,0.004,-0.019,1.004,0.004,0.000,-0.002,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.118,0.151,4.822,1.118,0.151,4.822
16874.816,0.999,0.010,0.002,-0.042,63,99,56,40,69,2,71,23,0,0.000,0,0,0.141,0.006,-0.140,-0.020,0.000,0.004,-0.018,1.003,0.004,0.004,0.002,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.118,0.151,4.822,1.118,0.151,4.822
16879.816,0.999,0.010,0.002,-0.042,63,60,93,63,58,10,75,37,0,0.000,0,0,0.102,0.006,-0.080,-0.020,0.060,0.005,-0.020,1.003,0.004,0.004,0.002,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.118,0.151,4.822,1.118,0.151,4.822
16884.816,0.999,0.010,0.002,-0.042,73,75,96,59,47,7,74,21,0,0.000,0,0,0.075,0.011,-0.020,0.040,0.060,0.005,-0.020,1.003,0.010,-0.004,0.002,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.118,0.151,4.822,1.118,0.151,4.822
16889.818,0.999,0.010,0.002,-0.042,59,97,55,43,37,3,57,17,0,0.000,0,0,0.045,0.011,0.040,-0.020,0.000,0.005,-0.019,1.002,0.010,-0.004,-0.002,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.118,0.151,4.822,1.118,0.151,4.822
16894.816,0.999,0.010,0.002,-0.042,84,94,68,69,25,0,37,24,0,0.000,0,0,0.028,0.010,-0.020,-0.020,0.000,0.004,-0.018,1.003,0.010,0.000,-0.002,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.118,0.151,4.822,1.118,0.151,4.822
16899.816,0.999,0.010,0.002,-0.042,55,69,87,69,38,43,75,45,0,0.000,0,0,0.082,0.011,-0.080,-0.020,0.000,0.005,-0.018,1.003,0.008,0.008,-0.002,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.118,0.151,4.822,1.118,0.151,4.822
16904.816,0.999,0.010,0.002,-0.042,90,81,71,81,28,0,47,51,0,0.000,0,0,0.045,0.010,-0.020,0.040,0.000,0.004,-0.020,1.002,0.006,0.008,-0.002,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.118,0.151,4.822,1.118,0.151,4.822
16909.816,0.999,0.010,0.002,-0.042,59,78,93,55,46,11,72,57,0,0.000,0,0,0.089,0.012,-0.080,0.040,0.000,0.004,-0.018,1.003,0.006,0.010,-0.002,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.118,0.151,4.822,1.118,0.151,4.822
16914.816,0.999,0.010,0.002,-0.042,73,71,56,69,18,0,37,43,0,0.000,0,0,0.045,0.007,0.040,-0.020,0.000,0.004,-0.020,1.003,0.004,-0.006,-0.002,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.118,0.151,4.822,1.118,0.151,4.822
16919.816,0.999,0.010,0.002,-0.042,87,101,55,55,37,3,41,19,0,0.000,0,0,0.028,0.004,-0.020,-0.020,0.000,0.004,-0.019,1.003,0.004,0.000,-0.002,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.118,0.151,4.822,1.118,0.151,4.822
16924.816,0.999,0.010,0.002,-0.042,87,105,61,97,43,9,45,27,0,0.000,0,0,0.089,0.000,-0.080,0.040,0.000,0.004,-0.019,1.004,0.000,0.000,-0.002,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.118,0.151,4.822,1.118,0.151,4.822
16929.818,0.999,0.010,0.002,-0.042,83,83,83,61,28,0,51,55,0,0.000,0,0,0.045,0.004,-0.020,0.040,0.000,0.004,-0.018,1.003,-0.002,0.004,0.002,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.118,0.151,4.822,1.118,0.151,4.822
16934.816,0.999,0.010,0.002,-0.042,85,93,53,61,27,21,51,25,0,0.000,0,0,0.108,0.004,-0.080,0.040,-0.060,0.005,-0.020,1.003,-0.002,0.004,0.002,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.118,0.151,4.822,1.118,0.151,4.822
16939.816,0.999,0.010,0.002,-0.042,55,75,85,2,41,29,64,41,0,0.000,0,0,0.045,0.004,0.040,-0.020,0.000,0.004,-0.019,1.002,-0.002,0.004,-0.002,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.118,0.151,4.822,1.118,0.151,4.822
16944.816,0.999,0.010,0.002,-0.042,68,103,89,55,84,12,73,26,0,0.000,0,0,0.066,0.006,-0.020,-0.020,-0.060,0.004,-0.019,1.003,0.004,0.004,-0.002,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.118,0.151,4.822,1.118,0.151,4.822
