t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs,L_roll,L_pitch,L_yaw,L_relativeRoll,L_relativePitch,L_relativeYaw
2189.799,0.968,-0.199,-0.047,0.146,55,93,62,42,38,0,61,21,0,0.000,0,0,0.379,4.154,0.360,0.120,0.000,0.004,-0.025,1.003,0.316,-4.142,-0.882,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-22.023,-8.509,-15.480,-22.023,-8.509,-15.480
2194.801,0.968,-0.198,-0.046,0.146,80,85,61,67,43,0,51,29,0,0.000,0,0,1.049,4.150,1.040,-0.060,0.120,0.003,-0.017,1.003,0.292,-4.140,-0.842,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-21.905,-8.468,-15.496,-21.905,-8.468,-15.496
2199.799,0.969,-0.194,-0.046,0.146,67,66,53,33,49,0,67,24,0,0.000,0,0,0.384,4.063,0.360,-0.120,0.060,0.005,-0.013,0.991,0.292,-4.052,-0.882,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-21.558,-8.352,-15.543,-21.558,-8.352,-15.543
2204.799,0.970,-0.191,-0.045,0.146,89,91,48,60,35,0,31,23,0,0.000,0,0,0.306,3.993,-0.300,0.000,0.060,0.006,-0.019,1.009,0.316,-3.980,-0.842,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-21.211,-8.236,-15.589,-21.211,-8.236,-15.589
2209.799,0.970,-0.188,-0.044,0.146,51,93,55,51,37,0,56,16,0,0.000,0,0,0.355,3.967,0.180,0.300,-0.060,0.004,-0.022,1.009,0.316,-3.954,-0.754,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-20.867,-8.123,-15.633,-20.867,-8.123,-15.633
2214.799,0.971,-0.185,-0.044,0.146,62,64,88,45,26,5,64,57,0,0.000,0,0,0.632,3.964,0.620,0.120,0.000,0.001,-0.018,0.998,0.284,-3.954,-0.754,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-20.526,-8.011,-15.676,-20.526,-8.011,-15.676
2219.799,0.971,-0.182,-0.043,0.146,67,91,88,31,49,0,53,18,0,0.000,0,0,0.437,3.821,0.360,-0.240,-0.060,0.004,-0.015,0.998,0.284,-3.810,-0.768,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-20.190,-7.897,-15.718,-20.190,-7.897,-15.718
2224.799,0.972,-0.180,-0.043,0.146,75,68,78,67,17,0,45,43,0,0.000,0,0,0.147,3.750,0.060,-0.120,0.060,0.008,-0.018,1.005,0.296,-3.738,-0.768,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-19.860,-7.784,-15.760,-19.860,-7.784,-15.760
2229.799,0.972,-0.177,-0.042,0.146,73,101,59,41,47,0,47,7,0,0.000,0,0,0.355,3.748,0.180,0.300,0.060,0.006,-0.018,1.006,0.298,-3.736,-0.692,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-19.536,-7.673,-15.800,-19.536,-7.673,-15.800
2234.801,0.973,-0.174,-0.041,0.146,91,75,83,73,11,0,38,48,0,0.000,0,0,0.300,3.700,0.180,0.240,0.000,0.001,-0.019,1.005,0.298,-3.688,-0.656,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-19.215,-7.567,-15.838,-19.215,-7.567,-15.838
