t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs,L_roll,L_pitch,L_yaw,L_relativeRoll,L_relativePitch,L_relativeYaw
44724.816,1.000,0.010,0.001,0.013,82,103,57,71,43,7,44,26,0,0.000,0,0,0.189,0.014,-0.040,-0.180,-0.040,0.005,-0.024,1.009,0.010,0.010,0.008,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.156,0.107,-1.485,1.156,0.107,-1.485
44729.816,1.000,0.010,0.001,0.013,91,107,61,75,25,0,47,49,0,0.000,0,0,0.342,0.007,0.320,0.120,0.020,0.004,-0.020,1.004,0.004,0.006,0.012,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.156,0.107,-1.485,1.156,0.107,-1.485
44734.816,1.000,0.010,0.001,0.013,48,71,101,71,25,0,47,45,0,0.000,0,0,0.128,0.007,0.080,-0.060,0.080,0.001,-0.017,0.999,0.004,0.006,0.012,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.156,0.107,-1.485,1.156,0.107,-1.485
44739.816,1.000,0.010,0.001,0.013,51,68,85,40,41,0,64,21,0,0.000,0,0,0.380,0.007,-0.360,-0.120,0.020,0.006,-0.021,1.002,0.004,0.006,-0.012,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.156,0.107,-1.485,1.156,0.107,-1.485
44744.816,1.000,0.010,0.001,0.013,73,62,57,70,18,0,36,53,0,0.000,0,0,0.075,0.007,-0.040,0.060,0.020,0.004,-0.022,1.005,0.004,-0.006,-0.012,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.156,0.107,-1.485,1.156,0.107,-1.485
44749.816,1.000,0.010,0.001,0.013,89,104,57,73,28,0,49,29,0,0.000,0,0,0.322,0.007,0.320,0.000,-0.040,0.002,-0.019,1.004,0.004,-0.006,0.012,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.156,0.107,-1.485,1.156,0.107,-1.485
44754.817,1.000,0.010,0.001,0.013,87,93,53,70,45,5,45,28,0,0.000,0,0,0.128,0.010,0.020,-0.120,-0.040,0.003,-0.017,1.003,0.000,0.010,0.012,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.156,0.107,-1.485,1.156,0.107,-1.485
44759.816,1.000,0.010,0.001,0.013,98,101,59,75,22,0,39,43,0,0.000,0,0,0.181,0.010,-0.180,0.000,0.020,0.004,-0.021,1.003,0.000,0.010,-0.002,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.156,0.107,-1.485,1.156,0.107,-1.485
44764.816,1.000,0.010,0.001,0.013,80,99,60,61,41,3,45,26,0,0.000,0,0,0.075,0.006,-0.040,0.060,0.020,0.003,-0.022,1.003,0.000,-0.006,-0.002,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.156,0.107,-1.485,1.156,0.107,-1.485
44769.816,1.000,0.010,0.001,0.013,52,69,95,45,46,12,75,33,0,0.000,0,0,0.154,0.006,0.140,-0.060,0.020,0.003,-0.020,1.006,0.000,-0.006,0.004,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,1.156,0.107,-1.485,1.156,0.107,-1.485
