t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs,L_roll,L_pitch,L_yaw,L_relativeRoll,L_relativePitch,L_relativeYaw
3195.795,0.164,-0.060,-0.200,-0.964,1288,0,62,2671,170,119,141,367,0,0.000,1,0,0.638,5.651,0.480,0.000,0.420,-0.271,-0.094,0.961,4.538,3.368,-1.764,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-23.925,2.914,160.041,-23.925,2.914,160.041
3200.795,0.164,-0.058,-0.197,-0.965,1290,0,67,2669,173,122,141,367,0,0.000,1,0,0.764,5.584,0.540,0.000,0.540,-0.271,-0.092,0.960,4.480,3.334,-1.712,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-23.491,2.675,160.114,-23.491,2.675,160.114
3205.796,0.164,-0.057,-0.195,-0.965,1292,0,68,2667,172,125,141,373,0,0.000,1,0,0.928,5.500,0.620,-0.120,0.680,-0.271,-0.091,0.961,4.418,3.276,-1.662,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-23.348,2.595,160.141,-23.348,2.595,160.141
3210.795,0.164,-0.056,-0.194,-0.965,1291,0,63,2667,179,137,142,367,0,0.000,1,0,0.877,5.477,0.620,0.000,0.620,-0.271,-0.091,0.962,4.404,3.256,-1.634,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-23.207,2.516,160.167,-23.207,2.516,160.167
3215.795,0.164,-0.053,-0.191,-0.966,1287,0,63,2668,177,139,143,373,0,0.000,1,0,0.732,5.457,0.480,-0.120,0.540,-0.271,-0.091,0.962,4.386,3.246,-1.610,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-22.785,2.281,160.236,-22.785,2.281,160.236
3220.795,0.164,-0.052,-0.190,-0.967,1279,0,67,2668,175,144,141,371,0,0.000,1,0,0.824,5.396,0.540,-0.060,0.620,-0.270,-0.095,0.961,4.326,3.226,-1.572,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-22.642,2.203,160.261,-22.642,2.203,160.261
3225.795,0.164,-0.051,-0.189,-0.967,1291,0,63,2663,183,141,141,373,0,0.000,1,0,0.924,5.370,0.540,-0.120,0.740,-0.270,-0.094,0.961,4.310,3.204,-1.568,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-22.499,2.125,160.287,-22.499,2.125,160.287
3230.795,0.164,-0.050,-0.188,-0.967,1280,0,63,2675,175,140,144,375,0,0.000,1,0,1.187,5.348,0.740,-0.120,0.920,-0.271,-0.092,0.961,4.286,3.198,-1.556,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-22.362,2.048,160.313,-22.362,2.048,160.313
3235.795,0.164,-0.050,-0.187,-0.967,1279,0,63,2664,180,139,140,375,0,0.000,1,0,1.093,5.323,0.540,-0.240,0.920,-0.274,-0.089,0.961,4.278,3.168,-1.532,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-22.222,1.970,160.339,-22.222,1.970,160.339
3240.795,0.164,-0.049,-0.186,-0.968,1285,0,61,2667,181,141,141,375,0,0.000,1,0,0.887,5.291,0.300,-0.240,0.800,-0.274,-0.087,0.963,4.276,3.116,-1.506,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-22.085,1.893,160.364,-22.085,1.893,160.364
