experiment_id,condition_order_index,condition_id,condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs,R_roll,R_pitch,R_yaw
EX0521-092111,15,C24,prep,38,38,0,799859.092,0.686,-0.676,0.194,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,3.615,0.009,-3.260,-0.100,1.560,0.015,0.988,0.011,0.008,0.004,-0.062,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,200,0,0,-89.424,0.704,-31.224
EX0521-092111,15,C24,prep,38,38,0,799864.092,0.685,-0.677,0.194,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,3.256,0.009,2.920,-0.040,-1.440,0.012,1.011,0.009,0.008,0.004,-0.062,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,200,0,0,-89.439,0.696,-31.224
EX0521-092111,15,C24,prep,38,38,0,799869.092,0.686,-0.676,0.194,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,2.200,0.003,-2.040,0.080,0.820,0.016,0.972,0.017,-0.002,0.002,-0.062,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,200,0,0,-89.427,0.701,-31.224
EX0521-092111,15,C24,prep,38,38,0,799874.091,0.686,-0.676,0.194,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.484,0.036,0.400,-0.220,-0.160,0.012,1.017,0.007,-0.002,0.036,0.162,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,200,0,0,-89.427,0.701,-31.224
EX0521-092111,15,C24,prep,38,38,0,799879.092,0.686,-0.676,0.194,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.864,0.042,0.660,0.200,-0.520,0.016,0.982,0.016,-0.006,-0.042,-0.120,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,200,0,0,-89.428,0.701,-31.224
EX0521-092111,15,C24,prep,38,38,0,799884.091,0.686,-0.676,0.194,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,1.907,0.015,-1.600,-0.280,1.000,0.015,0.997,0.010,0.006,0.014,0.024,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,200,0,0,-89.420,0.706,-31.224
EX0521-092111,15,C24,prep,47,47,0,799889.092,0.686,-0.676,0.194,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,2.000,0.023,1.760,0.140,-0.940,0.014,1.001,0.008,0.018,0.014,0.024,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,200,0,0,-89.429,0.701,-31.224
EX0521-092111,15,C24,prep,47,47,0,799894.092,0.686,-0.676,0.194,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,1.290,0.023,-1.180,-0.040,0.520,0.015,0.980,0.017,0.018,0.014,0.024,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,200,0,0,-89.421,0.701,-31.224
EX0521-092111,15,C24,prep,47,47,0,799899.091,0.686,-0.676,0.194,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.275,0.035,0.160,-0.220,-0.040,0.012,1.010,0.007,0.010,0.034,0.066,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,200,0,0,-89.421,0.701,-31.224
EX0521-092111,15,C24,prep,47,47,0,799904.092,0.686,-0.676,0.194,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,1.166,0.040,0.960,0.320,-0.580,0.016,0.979,0.016,-0.004,-0.040,-0.132,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1440,200,0,0,-89.425,0.698,-31.224
