experiment_id,condition_order_index,condition_id,condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs,R_roll,R_pitch,R_yaw
EX0521-092111,12,C10,prep,5,5,0,685959.095,0.683,-0.678,0.195,0.189,0,0,0,0,0,0,0,0,0,0.000,0,0,0.833,0.013,-0.680,-0.360,0.320,0.012,0.996,0.004,-0.004,-0.012,-0.034,0.000,0.000,0.000,0.000,0,3,0,3,7,255,1200,250,0,0,-89.710,0.565,-31.494
EX0521-092111,12,C10,prep,5,5,0,685964.092,0.683,-0.678,0.195,0.189,0,0,0,0,0,0,0,0,0,0.000,0,0,0.680,0.027,0.160,-0.660,-0.040,0.011,1.001,0.003,0.006,0.026,0.032,0.000,0.000,0.000,0.000,0,3,0,3,7,255,1200,250,0,0,-89.710,0.565,-31.497
EX0521-092111,12,C10,prep,5,5,0,685969.093,0.683,-0.678,0.195,0.189,0,0,0,0,0,0,0,0,0,0.000,0,0,0.484,0.027,0.420,-0.180,-0.160,0.013,0.991,0.005,0.008,0.026,0.032,0.000,0.000,0.000,0.000,0,3,0,3,7,255,1200,250,0,0,-89.710,0.565,-31.497
EX0521-092111,12,C10,prep,5,5,0,685974.092,0.683,-0.678,0.195,0.189,0,0,0,0,0,0,0,0,0,0.000,0,0,0.860,0.010,-0.740,-0.180,0.400,0.012,0.987,0.009,0.006,0.008,-0.016,0.000,0.000,0.000,0.000,0,3,0,3,7,255,1200,250,0,0,-89.706,0.565,-31.497
EX0521-092111,12,C10,prep,5,5,0,685979.092,0.683,-0.678,0.195,0.189,0,0,0,0,0,0,0,0,0,0.000,0,0,0.808,0.006,-0.740,0.060,0.320,0.012,0.997,0.007,-0.004,-0.004,-0.016,0.000,0.000,0.000,0.000,0,3,0,3,7,255,1200,250,0,0,-89.703,0.565,-31.497
EX0521-092111,12,C10,prep,5,5,0,685984.092,0.683,-0.678,0.195,0.189,0,0,0,0,0,0,0,0,0,0.000,0,0,0.885,0.006,0.780,-0.120,-0.400,0.013,0.998,0.005,-0.004,-0.004,0.040,0.000,0.000,0.000,0.000,0,3,0,3,7,255,1200,250,0,0,-89.707,0.565,-31.497
EX0521-092111,12,C10,prep,21,21,0,685989.091,0.683,-0.678,0.195,0.189,0,0,0,0,0,0,0,0,0,0.000,0,0,0.620,0.006,-0.560,-0.060,0.260,0.013,0.982,0.009,-0.004,-0.004,0.040,0.000,0.000,0.000,0.000,0,3,0,3,7,255,1200,250,0,0,-89.707,0.565,-31.497
EX0521-092111,12,C10,prep,21,21,0,685994.091,0.683,-0.678,0.195,0.189,0,0,0,0,0,0,0,0,0,0.000,0,0,0.793,0.009,-0.740,-0.120,0.260,0.012,1.002,0.006,-0.004,0.008,0.046,0.000,0.000,0.000,0.000,0,3,0,3,7,255,1200,250,0,0,-89.703,0.565,-31.497
EX0521-092111,12,C10,prep,55,55,0,685999.092,0.683,-0.678,0.195,0.189,0,0,0,0,0,0,0,0,0,0.000,0,0,1.495,0.009,1.320,-0.060,-0.700,0.012,0.991,0.005,-0.004,0.008,-0.022,0.000,0.000,0.000,0.000,0,3,0,3,7,255,1200,250,0,0,-89.710,0.561,-31.497
EX0521-092111,12,C10,prep,55,55,0,686004.092,0.683,-0.678,0.195,0.189,0,0,0,0,0,0,0,0,0,0.000,0,0,2.461,0.009,-2.220,-0.060,1.060,0.014,0.984,0.008,0.004,0.008,-0.022,0.000,0.000,0.000,0.000,0,3,0,3,7,255,1200,250,0,0,-89.699,0.567,-31.497
EX0521-092111,12,C10,prep,55,55,0,686009.091,0.683,-0.678,0.195,0.189,0,0,0,0,0,0,0,0,0,0.000,0,0,1.495,0.015,1.320,-0.060,-0.700,0.010,1.008,0.004,0.004,0.014,-0.022,0.000,0.000,0.000,0.000,0,3,0,3,7,255,1200,250,0,0,-89.706,0.563,-31.497
EX0521-092111,12,C10,prep,55,55,0,686014.092,0.683,-0.678,0.195,0.189,0,0,0,0,0,0,0,0,0,0.000,0,0,1.048,0.020,-0.940,0.060,0.460,0.016,0.971,0.011,0.004,-0.020,-0.088,0.000,0.000,0.000,0.000,0,3,0,3,7,255,1200,250,0,0,-89.699,0.564,-31.497
EX0521-092111,12,C10,prep,55,55,0,686019.092,0.683,-0.678,0.195,0.189,0,0,0,0,0,0,0,0,0,0.000,0,0,0.247,0.030,-0.200,-0.120,0.080,0.010,1.015,0.002,0.004,0.030,0.146,0.000,0.000,0.000,0.000,0,3,0,3,7,255,1200,250,0,0,-89.699,0.564,-31.497
EX0521-092111,12,C10,prep,55,55,0,686024.091,0.683,-0.678,0.195,0.189,0,0,0,0,0,0,0,0,0,0.000,0,0,1.200,0.056,1.080,0.060,-0.520,0.015,0.973,0.014,0.004,-0.056,-0.196,0.000,0.000,0.000,0.000,0,3,0,3,7,255,1200,250,0,0,-89.702,0.564,-31.497
EX0521-092111,12,C10,prep,85,85,0,686029.091,0.683,-0.678,0.195,0.189,0,0,0,0,0,0,0,0,0,0.000,0,0,1.806,0.048,-1.660,-0.120,0.700,0.011,1.008,-0.001,0.004,0.048,0.148,0.000,0.000,0.000,0.000,0,3,0,3,7,255,1200,250,0,0,-89.696,0.567,-31.497
EX0521-092111,12,C10,prep,85,85,0,686034.092,0.683,-0.678,0.195,0.189,0,0,0,0,0,0,0,0,0,0.000,0,0,1.787,0.062,1.640,-0.120,-0.700,0.014,0.985,0.013,-0.014,-0.060,-0.072,0.000,0.000,0.000,0.000,0,3,0,3,7,255,1200,250,0,0,-89.702,0.564,-31.497
EX0521-092111,12,C10,prep,85,85,0,686039.093,0.683,-0.678,0.195,0.189,0,0,0,0,0,0,0,0,0,0.000,0,0,1.079,0.048,-1.000,0.060,0.400,0.012,0.993,0.002,0.020,0.044,0.004,0.000,0.000,0.000,0.000,0,3,0,3,7,255,1200,250,0,0,-89.697,0.564,-31.497
EX0521-092111,12,C10,prep,85,85,0,686044.091,0.683,-0.678,0.195,0.189,0,0,0,0,0,0,0,0,0,0.000,0,0,0.341,0.022,0.220,-0.240,-0.100,0.011,1.000,0.009,-0.020,-0.010,0.004,0.000,0.000,0.000,0.000,0,3,0,3,7,255,1200,250,0,0,-89.697,0.564,-31.497
EX0521-092111,12,C10,prep,85,85,0,686049.092,0.683,-0.678,0.195,0.189,0,0,0,0,0,0,0,0,0,0.000,0,0,0.928,0.017,0.840,0.200,-0.340,0.014,0.982,0.007,0.014,-0.010,0.004,0.000,0.000,0.000,0.000,0,3,0,3,7,255,1200,250,0,0,-89.701,0.564,-31.497
EX0521-092111,12,C10,prep,85,85,0,686054.092,0.683,-0.678,0.195,0.189,0,0,0,0,0,0,0,0,0,0.000,0,0,1.049,0.013,-0.940,-0.240,0.400,0.011,1.008,0.002,0.008,-0.010,0.066,0.000,0.000,0.000,0.000,0,3,0,3,7,255,1200,250,0,0,-89.697,0.564,-31.497
EX0521-092111,12,C10,prep,101,101,0,686059.091,0.683,-0.678,0.195,0.189,0,0,0,0,0,0,0,0,0,0.000,0,0,0.944,0.016,0.900,-0.060,-0.280,0.014,0.982,0.013,0.008,-0.014,-0.106,0.000,0.000,0.000,0.000,0,3,0,3,7,255,1200,250,0,0,-89.699,0.564,-31.497
EX0521-092111,12,C10,prep,101,101,0,686064.093,0.683,-0.678,0.195,0.189,0,0,0,0,0,0,0,0,0,0.000,0,0,0.379,0.047,0.280,0.200,-0.160,0.013,0.997,0.000,0.008,0.046,0.038,0.000,0.000,0.000,0.000,0,3,0,3,7,255,1200,250,0,0,-89.704,0.564,-31.497
EX0521-092111,12,C10,prep,101,101,0,686069.092,0.683,-0.678,0.195,0.189,0,0,0,0,0,0,0,0,0,0.000,0,0,1.020,0.010,-0.940,-0.300,0.260,0.013,1.000,0.008,-0.002,-0.010,0.038,0.000,0.000,0.000,0.000,0,3,0,3,7,255,1200,250,0,0,-89.700,0.564,-31.497
EX0521-092111,12,C10,prep,101,101,0,686074.092,0.683,-0.678,0.195,0.189,0,0,0,0,0,0,0,0,0,0.000,0,0,0.545,0.011,0.540,0.060,-0.040,0.015,0.979,0.011,0.004,-0.010,0.038,0.000,0.000,0.000,0.000,0,3,0,3,7,255,1200,250,0,0,-89.695,0.565,-31.497
EX0521-092111,12,C10,prep,118,118,0,686079.092,0.683,-0.678,0.195,0.189,0,0,0,0,0,0,0,0,0,0.000,0,0,1.420,0.011,1.260,0.140,-0.640,0.010,1.006,0.000,0.004,-0.010,0.070,0.000,0.000,0.000,0.000,0,3,0,3,7,255,1200,250,0,0,-89.703,0.562,-31.497
