experiment_id,condition_order_index,condition_id,condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs,R_roll,R_pitch,R_yaw
EX0521-092111,17,C01,prep,0,0,0,865809.092,0.685,-0.676,0.195,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,1.536,0.013,1.380,0.140,-0.660,0.014,0.999,0.009,-0.006,0.012,0.048,0.000,0.000,0.000,0.000,0,2,0,1,7,255,960,200,0,0,-89.400,0.717,-31.429
EX0521-092111,17,C01,prep,0,0,0,865814.092,0.685,-0.676,0.195,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,0.776,0.016,-0.700,-0.100,0.320,0.018,0.976,0.015,0.010,0.012,0.048,0.000,0.000,0.000,0.000,0,2,0,1,7,255,960,200,0,0,-89.392,0.719,-31.429
EX0521-092111,17,C01,prep,73,73,0,865819.092,0.685,-0.676,0.195,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,0.753,0.024,-0.700,-0.100,0.260,0.011,1.013,0.011,0.010,0.022,0.048,0.000,0.000,0.000,0.000,0,2,0,1,7,255,960,200,0,0,-89.389,0.719,-31.429
EX0521-092111,17,C01,prep,73,73,0,865824.091,0.685,-0.676,0.195,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,2.310,0.010,2.040,0.080,-1.080,0.016,0.985,0.010,0.010,-0.002,-0.086,0.000,0.000,0.000,0.000,0,2,0,1,7,255,960,200,0,0,-89.399,0.713,-31.429
EX0521-092111,17,C01,prep,73,73,0,865829.092,0.685,-0.676,0.195,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,2.759,0.004,-2.460,-0.160,1.240,0.014,0.990,0.012,-0.004,-0.002,-0.034,0.000,0.000,0.000,0.000,0,2,0,1,7,255,960,200,0,0,-89.387,0.719,-31.429
EX0521-092111,17,C01,prep,73,73,0,865834.091,0.685,-0.676,0.195,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,2.289,0.012,1.980,0.140,-1.140,0.014,1.007,0.008,0.012,-0.002,-0.034,0.000,0.000,0.000,0.000,0,2,0,1,7,255,960,200,0,0,-89.397,0.714,-31.429
EX0521-092111,17,C01,prep,73,73,0,865839.092,0.685,-0.676,0.195,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,1.077,0.006,-0.940,-0.160,0.500,0.017,0.975,0.017,0.000,-0.006,-0.034,0.000,0.000,0.000,0.000,0,2,0,1,7,255,960,200,0,0,-89.390,0.714,-31.429
EX0521-092111,17,C01,prep,73,73,0,865844.091,0.685,-0.676,0.195,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,0.416,0.032,-0.400,0.080,0.080,0.013,1.011,0.007,0.010,0.030,0.128,0.000,0.000,0.000,0.000,0,2,0,1,7,255,960,200,0,0,-89.390,0.714,-31.429
EX0521-092111,17,C01,prep,76,76,0,865849.092,0.685,-0.676,0.195,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,1.664,0.020,1.500,-0.040,-0.720,0.014,0.989,0.014,0.000,-0.020,-0.042,0.000,0.000,0.000,0.000,0,2,0,1,7,255,960,200,0,0,-89.398,0.711,-31.429
EX0521-092111,17,C01,prep,76,76,0,865854.092,0.685,-0.676,0.195,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,2.301,0.019,-2.040,-0.100,1.060,0.016,0.985,0.008,0.010,0.016,-0.042,0.000,0.000,0.000,0.000,0,2,0,1,7,255,960,200,0,0,-89.388,0.716,-31.429
