experiment_id,condition_order_index,condition_id,condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs,R_roll,R_pitch,R_yaw
EX0521-092111,16,C19,prep,14,14,0,837219.092,0.686,-0.676,0.195,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,0.502,0.031,-0.020,0.500,-0.040,0.012,0.992,0.015,-0.016,-0.026,-0.016,0.000,0.000,0.000,0.000,0,2,0,3,7,255,960,250,0,0,-89.394,0.733,-31.380
EX0521-092111,16,C19,prep,14,14,0,837224.093,0.686,-0.676,0.195,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,0.511,0.023,-0.260,0.440,0.020,0.015,0.994,0.009,-0.016,-0.016,-0.016,0.000,0.000,0.000,0.000,0,2,0,3,7,255,960,250,0,0,-89.394,0.733,-31.380
EX0521-092111,16,C19,prep,72,72,0,837229.092,0.686,-0.676,0.195,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,0.332,0.028,-0.080,0.320,-0.040,0.016,1.001,0.006,0.022,0.018,-0.002,0.000,0.000,0.000,0.000,0,2,0,3,7,255,960,250,0,0,-89.394,0.733,-31.380
EX0521-092111,16,C19,prep,72,72,0,837234.091,0.686,-0.676,0.195,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,0.516,0.042,0.460,0.080,-0.220,0.013,0.999,0.008,0.022,0.036,0.048,0.000,0.000,0.000,0.000,0,2,0,3,7,255,960,250,0,0,-89.394,0.733,-31.380
EX0521-092111,16,C19,prep,73,73,0,837239.092,0.686,-0.676,0.195,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,0.616,0.037,0.280,-0.540,-0.100,0.014,0.992,0.012,0.010,0.036,0.048,0.000,0.000,0.000,0.000,0,2,0,3,7,255,960,250,0,0,-89.394,0.733,-31.380
EX0521-092111,16,C19,prep,73,73,0,837244.092,0.686,-0.676,0.195,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,1.018,0.003,-0.880,-0.400,0.320,0.014,0.988,0.017,-0.002,-0.002,-0.022,0.000,0.000,0.000,0.000,0,2,0,3,7,255,960,250,0,0,-89.388,0.733,-31.380
EX0521-092111,16,C19,prep,73,73,0,837249.092,0.686,-0.676,0.195,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,0.390,0.006,-0.380,-0.040,0.080,0.014,0.999,0.012,-0.006,-0.002,-0.022,0.000,0.000,0.000,0.000,0,2,0,3,7,255,960,250,0,0,-89.388,0.733,-31.380
EX0521-092111,16,C19,prep,73,73,0,837254.093,0.686,-0.676,0.195,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,1.065,0.006,0.960,0.020,-0.460,0.015,0.997,0.009,-0.006,0.002,0.026,0.000,0.000,0.000,0.000,0,2,0,3,7,255,960,250,0,0,-89.392,0.733,-31.380
EX0521-092111,16,C19,prep,78,78,0,837259.092,0.686,-0.676,0.195,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,0.487,0.003,-0.400,-0.100,0.260,0.015,0.984,0.014,-0.002,0.002,0.026,0.000,0.000,0.000,0.000,0,2,0,3,7,255,960,250,0,0,-89.392,0.733,-31.380
EX0521-092111,16,C19,prep,78,78,0,837264.091,0.686,-0.676,0.195,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,1.108,0.004,-1.060,-0.040,0.320,0.014,1.002,0.012,-0.002,0.004,0.026,0.000,0.000,0.000,0.000,0,2,0,3,7,255,960,250,0,0,-89.387,0.733,-31.380
EX0521-092111,16,C19,prep,78,78,0,837269.092,0.686,-0.676,0.195,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,1.288,0.002,1.140,0.020,-0.600,0.015,0.992,0.011,-0.002,0.000,-0.022,0.000,0.000,0.000,0.000,0,2,0,3,7,255,960,250,0,0,-89.393,0.730,-31.380
EX0521-092111,16,C19,prep,78,78,0,837274.091,0.686,-0.676,0.195,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,0.974,0.006,-0.820,-0.160,0.500,0.016,0.990,0.011,0.006,0.000,-0.022,0.000,0.000,0.000,0.000,0,2,0,3,7,255,960,250,0,0,-89.389,0.730,-31.380
EX0521-092111,16,C19,prep,78,78,0,837279.092,0.686,-0.676,0.195,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,0.454,0.006,0.340,0.020,-0.300,0.013,1.005,0.010,0.006,0.000,-0.022,0.000,0.000,0.000,0.000,0,2,0,3,7,255,960,250,0,0,-89.389,0.730,-31.380
EX0521-092111,16,C19,prep,78,78,0,837284.092,0.686,-0.676,0.195,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,0.098,0.015,0.040,-0.040,0.080,0.017,0.979,0.012,0.014,-0.004,-0.036,0.000,0.000,0.000,0.000,0,2,0,3,7,255,960,250,0,0,-89.389,0.730,-31.380
EX0521-092111,16,C19,prep,78,78,0,837289.092,0.686,-0.676,0.195,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,0.352,0.022,-0.340,-0.040,0.080,0.012,1.009,0.009,0.000,0.022,0.112,0.000,0.000,0.000,0.000,0,2,0,3,7,255,960,250,0,0,-89.389,0.730,-31.380
EX0521-092111,16,C19,prep,78,78,0,837294.092,0.686,-0.676,0.195,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,0.970,0.016,0.900,0.020,-0.360,0.015,0.983,0.013,0.002,-0.016,-0.102,0.000,0.000,0.000,0.000,0,2,0,3,7,255,960,250,0,0,-89.393,0.730,-31.380
EX0521-092111,16,C19,prep,94,94,0,837299.092,0.686,-0.676,0.195,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,1.282,0.022,-1.180,-0.040,0.500,0.013,1.000,0.010,0.000,0.022,0.064,0.000,0.000,0.000,0.000,0,2,0,3,7,255,960,250,0,0,-89.387,0.730,-31.380
EX0521-092111,16,C19,prep,94,94,0,837304.092,0.686,-0.676,0.195,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,1.320,0.012,1.200,-0.100,-0.540,0.015,0.992,0.012,0.002,-0.012,-0.022,0.000,0.000,0.000,0.000,0,2,0,3,7,255,960,250,0,0,-89.393,0.730,-31.380
EX0521-092111,16,C19,prep,94,94,0,837309.091,0.686,-0.676,0.195,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,1.015,0.014,-0.940,-0.040,0.380,0.014,0.992,0.010,0.002,0.014,-0.022,0.000,0.000,0.000,0.000,0,2,0,3,7,255,960,250,0,0,-89.389,0.730,-31.380
EX0521-092111,16,C19,prep,94,94,0,837314.092,0.686,-0.676,0.195,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,0.227,0.006,-0.140,-0.160,0.080,0.013,0.998,0.013,0.002,-0.006,-0.022,0.000,0.000,0.000,0.000,0,2,0,3,7,255,960,250,0,0,-89.389,0.730,-31.380
EX0521-092111,16,C19,prep,110,110,0,837319.091,0.686,-0.676,0.195,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,1.269,0.004,1.140,0.200,-0.520,0.015,0.989,0.011,0.002,-0.004,-0.022,0.000,0.000,0.000,0.000,0,2,0,3,7,255,960,250,0,0,-89.395,0.730,-31.380
EX0521-092111,16,C19,prep,110,110,0,837324.092,0.686,-0.676,0.195,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,1.675,0.004,-1.540,-0.160,0.640,0.014,1.000,0.011,0.000,-0.004,0.036,0.000,0.000,0.000,0.000,0,2,0,3,7,255,960,250,0,0,-89.387,0.734,-31.380
EX0521-092111,16,C19,prep,142,142,0,837329.091,0.686,-0.676,0.195,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,1.477,0.004,1.380,0.080,-0.520,0.016,0.988,0.014,0.000,-0.004,-0.050,0.000,0.000,0.000,0.000,0,2,0,3,7,255,960,250,0,0,-89.394,0.734,-31.380
EX0521-092111,16,C19,prep,142,142,0,837334.092,0.686,-0.676,0.195,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,0.790,0.012,-0.760,0.080,0.200,0.014,0.998,0.008,0.000,0.012,0.036,0.000,0.000,0.000,0.000,0,2,0,3,7,255,960,250,0,0,-89.390,0.734,-31.380
EX0521-092111,16,C19,prep,142,142,0,837339.091,0.686,-0.676,0.195,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,0.433,0.016,-0.320,-0.280,0.080,0.015,0.995,0.013,-0.002,-0.016,0.012,0.000,0.000,0.000,0.000,0,2,0,3,7,255,960,250,0,0,-89.390,0.734,-31.380
EX0521-092111,16,C19,prep,142,142,0,837344.092,0.686,-0.676,0.195,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,1.537,0.009,1.440,0.140,-0.520,0.015,0.985,0.011,0.008,-0.004,0.012,0.000,0.000,0.000,0.000,0,2,0,3,7,255,960,250,0,0,-89.397,0.734,-31.380
EX0521-092111,16,C19,prep,142,142,0,837349.091,0.686,-0.676,0.195,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,1.223,0.009,-1.180,0.020,0.320,0.013,1.005,0.007,0.008,-0.004,0.012,0.000,0.000,0.000,0.000,0,2,0,3,7,255,960,250,0,0,-89.391,0.734,-31.380
EX0521-092111,16,C19,prep,142,142,0,837354.093,0.686,-0.676,0.195,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,0.308,0.009,-0.200,-0.220,0.080,0.015,0.989,0.017,0.008,-0.004,-0.050,0.000,0.000,0.000,0.000,0,2,0,3,7,255,960,250,0,0,-89.386,0.734,-31.380
EX0521-092111,16,C19,prep,168,168,0,837359.093,0.686,-0.676,0.195,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,1.439,0.011,1.380,0.080,-0.400,0.015,0.989,0.010,0.008,0.008,-0.046,0.000,0.000,0.000,0.000,0,2,0,3,7,255,960,250,0,0,-89.393,0.734,-31.380
EX0521-092111,16,C19,prep,168,168,0,837364.093,0.686,-0.676,0.195,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,0.705,0.013,-0.700,0.020,0.080,0.013,1.004,0.006,0.010,0.008,-0.046,0.000,0.000,0.000,0.000,0,2,0,3,7,255,960,250,0,0,-89.389,0.734,-31.380
EX0521-092111,16,C19,prep,169,169,0,837369.092,0.686,-0.676,0.195,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,1.017,0.013,-0.940,-0.220,0.320,0.016,0.985,0.018,0.010,0.008,-0.046,0.000,0.000,0.000,0.000,0,2,0,3,7,255,960,250,0,0,-89.382,0.734,-31.380
EX0521-092111,16,C19,prep,169,169,0,837374.091,0.686,-0.676,0.195,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,1.541,0.008,1.500,-0.100,-0.340,0.015,0.993,0.012,0.000,-0.008,-0.012,0.000,0.000,0.000,0.000,0,2,0,3,7,255,960,250,0,0,-89.390,0.734,-31.380
EX0521-092111,16,C19,prep,170,170,0,837379.092,0.686,-0.676,0.195,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,0.571,0.008,0.400,0.080,-0.400,0.014,1.001,0.004,0.000,-0.008,-0.012,0.000,0.000,0.000,0.000,0,2,0,3,7,255,960,250,0,0,-89.396,0.734,-31.380
EX0521-092111,16,C19,prep,170,170,0,837384.092,0.686,-0.676,0.195,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,2.577,0.008,-2.460,-0.100,0.760,0.015,0.987,0.017,0.000,-0.008,-0.012,0.000,0.000,0.000,0.000,0,2,0,3,7,255,960,250,0,0,-89.382,0.737,-31.379
EX0521-092111,16,C19,prep,192,192,0,837389.092,0.686,-0.676,0.195,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,1.305,0.028,1.260,0.020,-0.340,0.014,0.996,0.015,-0.018,-0.022,0.016,0.000,0.000,0.000,0.000,0,2,0,3,7,255,960,250,0,0,-89.388,0.737,-31.379
EX0521-092111,16,C19,prep,192,192,0,837394.091,0.686,-0.676,0.195,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,1.597,0.028,1.500,-0.100,-0.540,0.014,0.995,0.005,-0.018,-0.022,0.006,0.000,0.000,0.000,0.000,0,2,0,3,7,255,960,250,0,0,-89.397,0.737,-31.379
EX0521-092111,16,C19,prep,192,192,0,837399.092,0.686,-0.676,0.195,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,2.598,0.007,-2.460,-0.160,0.820,0.014,0.997,0.012,-0.006,-0.004,0.016,0.000,0.000,0.000,0.000,0,2,0,3,7,255,960,250,0,0,-89.385,0.741,-31.379
EX0521-092111,16,C19,prep,192,192,0,837404.091,0.686,-0.676,0.195,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,0.729,0.007,0.640,0.080,-0.340,0.015,0.992,0.016,-0.006,-0.004,0.006,0.000,0.000,0.000,0.000,0,2,0,3,7,255,960,250,0,0,-89.384,0.741,-31.379
