experiment_id,condition_order_index,condition_id,condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs,R_roll,R_pitch,R_yaw
EX0521-092111,23,C11,prep,39,39,0,1149829.092,0.686,-0.675,0.196,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.092,0.002,-0.040,-0.080,0.020,0.014,0.993,0.012,0.002,0.000,0.002,0.000,0.000,0.000,0.000,0,2,0,1,7,255,960,300,0,0,-89.361,0.878,-31.439
EX0521-092111,23,C11,prep,39,39,0,1149834.092,0.686,-0.675,0.196,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.092,0.002,-0.040,-0.080,0.020,0.015,0.994,0.012,0.000,-0.002,-0.002,0.000,0.000,0.000,0.000,0,2,0,1,7,255,960,300,0,0,-89.361,0.878,-31.439
EX0521-092111,23,C11,prep,40,40,0,1149839.091,0.686,-0.675,0.196,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.049,0.002,-0.040,-0.020,0.020,0.014,0.994,0.011,0.000,-0.002,-0.002,0.000,0.000,0.000,0.000,0,2,0,1,7,255,960,300,0,0,-89.361,0.878,-31.439
EX0521-092111,23,C11,prep,40,40,0,1149844.091,0.686,-0.675,0.196,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.060,0.004,-0.040,-0.020,-0.040,0.015,0.995,0.011,0.004,0.000,-0.002,0.000,0.000,0.000,0.000,0,2,0,1,7,255,960,300,0,0,-89.361,0.878,-31.439
EX0521-092111,23,C11,prep,63,63,0,1149849.092,0.686,-0.675,0.196,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.166,0.006,0.160,-0.020,-0.040,0.014,0.995,0.010,0.004,0.004,0.006,0.000,0.000,0.000,0.000,0,2,0,1,7,255,960,300,0,0,-89.361,0.878,-31.439
EX0521-092111,23,C11,prep,63,63,0,1149854.092,0.686,-0.675,0.196,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.298,0.004,0.280,-0.020,-0.100,0.014,0.992,0.012,0.004,0.000,0.006,0.000,0.000,0.000,0.000,0,2,0,1,7,255,960,300,0,0,-89.361,0.878,-31.439
EX0521-092111,23,C11,prep,63,63,0,1149859.095,0.686,-0.675,0.196,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.180,0.004,-0.160,-0.020,0.080,0.014,0.986,0.012,-0.002,-0.004,-0.016,0.000,0.000,0.000,0.000,0,2,0,1,7,255,960,300,0,0,-89.361,0.878,-31.439
EX0521-092111,23,C11,prep,63,63,0,1149864.091,0.686,-0.675,0.196,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.237,0.006,-0.220,0.040,0.080,0.013,1.005,0.011,-0.004,-0.004,-0.016,0.000,0.000,0.000,0.000,0,2,0,1,7,255,960,300,0,0,-89.361,0.878,-31.439
EX0521-092111,23,C11,prep,63,63,0,1149869.092,0.686,-0.675,0.196,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.242,0.015,0.220,-0.020,-0.100,0.014,0.993,0.009,-0.004,0.014,-0.012,0.000,0.000,0.000,0.000,0,2,0,1,7,255,960,300,0,0,-89.361,0.878,-31.439
EX0521-092111,23,C11,prep,63,63,0,1149874.091,0.686,-0.675,0.196,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.110,0.015,-0.040,-0.100,0.020,0.014,0.987,0.012,-0.004,0.014,-0.012,0.000,0.000,0.000,0.000,0,2,0,1,7,255,960,300,0,0,-89.361,0.878,-31.439
