t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs,L_roll,L_pitch,L_yaw,L_relativeRoll,L_relativePitch,L_relativeYaw
87279.815,0.832,0.019,-0.053,0.553,275,0,933,1094,745,460,691,1055,42,0.000,13,0,22.201,0.320,-15.140,-13.140,-9.540,-0.066,-0.052,1.042,0.320,0.014,0.160,0.052,0.046,0.654,0.619,3,0,0,0,7,255,0,250,0,0,5.234,-3.875,-67.385,5.234,-3.875,-67.385
87284.815,0.831,0.020,-0.053,0.553,183,0,939,979,745,424,687,1050,42,0.000,13,0,24.817,0.335,-18.300,-14.180,-8.940,-0.088,-0.061,1.041,0.320,0.098,0.350,0.062,0.054,0.654,0.619,3,0,0,0,7,255,0,250,0,0,5.323,-3.803,-67.424,5.323,-3.803,-67.424
87289.816,0.831,0.021,-0.053,0.553,152,0,935,917,739,384,703,1055,42,0.000,13,0,28.267,0.264,-21.000,-14.980,-11.560,-0.084,-0.080,1.025,0.174,0.198,0.350,0.070,0.064,0.654,0.619,3,0,0,0,7,255,0,250,0,0,5.431,-3.725,-67.475,5.431,-3.725,-67.475
87294.815,0.831,0.022,-0.053,0.553,83,0,949,819,742,375,723,1061,42,0.000,13,0,26.527,0.198,-17.820,-16.820,-10.160,-0.074,-0.107,1.007,0.014,0.198,0.214,0.084,0.074,0.654,0.619,3,0,0,0,7,255,0,250,0,0,5.527,-3.637,-67.517,5.527,-3.637,-67.517
87299.815,0.831,0.023,-0.053,0.554,47,0,947,731,745,364,745,1042,42,0.000,13,0,23.615,0.200,-12.820,-18.940,-5.880,-0.074,-0.129,1.019,-0.198,0.028,0.198,0.096,0.088,0.654,0.619,3,0,0,0,7,255,0,250,0,0,5.600,-3.541,-67.538,5.600,-3.541,-67.538
87304.815,0.831,0.024,-0.052,0.554,4,0,947,660,751,350,731,1019,42,0.000,13,0,23.143,0.283,-8.420,-21.500,-1.560,-0.093,-0.119,1.090,-0.282,0.028,0.198,0.116,0.106,0.654,0.619,3,0,0,0,7,255,0,250,0,0,5.646,-3.436,-67.535,5.646,-3.436,-67.535
87309.816,0.831,0.025,-0.052,0.553,0,0,941,570,759,334,736,1033,42,0.000,13,0,28.070,0.337,-10.380,-25.540,5.280,-0.099,-0.072,1.171,-0.282,0.184,0.894,0.134,0.126,0.654,0.619,3,0,0,0,7,255,0,250,0,0,5.694,-3.313,-67.496,5.694,-3.313,-67.496
87314.815,0.831,0.027,-0.051,0.553,0,0,973,489,767,328,760,1029,42,0.000,13,0,40.810,0.384,-25.380,-29.620,12.000,-0.079,-0.062,1.188,0.212,0.320,1.640,0.156,0.146,0.654,0.619,3,0,0,0,7,255,0,250,0,0,5.817,-3.171,-67.422,5.817,-3.171,-67.422
87319.815,0.832,0.029,-0.051,0.552,0,0,973,412,776,334,778,1031,42,0.000,13,0,50.018,0.384,-36.980,-29.560,16.140,-0.070,-0.097,1.121,0.212,0.320,1.640,0.176,0.166,0.654,0.619,3,0,0,0,7,255,0,250,0,0,5.998,-3.032,-67.326,5.998,-3.032,-67.326
87324.817,0.832,0.031,-0.051,0.551,0,0,967,366,793,325,777,1019,42,0.000,13,0,51.606,0.295,-38.020,-29.500,18.640,-0.089,-0.119,1.021,0.072,0.286,1.156,0.200,0.190,0.654,0.619,3,0,0,0,7,255,0,250,0,0,6.185,-2.895,-67.217,6.185,-2.895,-67.217
