experiment_id,condition_order_index,condition_id,condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs,R_roll,R_pitch,R_yaw
EX0521-092111,27,C18,prep,63,63,0,1309189.092,0.686,-0.675,0.196,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.235,0.022,-0.220,-0.020,0.080,0.016,0.977,0.009,0.010,-0.020,-0.164,0.000,0.000,0.000,0.000,0,2,0,2,7,255,1440,200,0,0,-89.325,0.949,-31.501
EX0521-092111,27,C18,prep,63,63,0,1309194.092,0.686,-0.675,0.196,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.376,0.030,0.260,0.160,-0.220,0.015,1.005,0.006,0.028,0.012,-0.164,0.000,0.000,0.000,0.000,0,2,0,2,7,255,1440,200,0,0,-89.330,0.949,-31.501
EX0521-092111,27,C18,prep,63,63,0,1309199.092,0.686,-0.675,0.196,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.120,0.038,0.080,-0.080,-0.040,0.013,1.037,0.010,0.028,0.026,0.116,0.000,0.000,0.000,0.000,0,2,0,2,7,255,1440,200,0,0,-89.330,0.949,-31.501
EX0521-092111,27,C18,prep,63,63,0,1309204.091,0.686,-0.675,0.196,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.350,0.026,-0.220,-0.080,0.260,0.016,0.969,0.017,-0.004,0.026,0.116,0.000,0.000,0.000,0.000,0,2,0,2,7,255,1440,200,0,0,-89.325,0.949,-31.501
EX0521-092111,27,C18,prep,63,63,0,1309209.092,0.686,-0.675,0.196,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.300,0.024,0.200,0.040,-0.220,0.016,0.982,0.013,-0.004,-0.024,-0.104,0.000,0.000,0.000,0.000,0,2,0,2,7,255,1440,200,0,0,-89.325,0.949,-31.501
EX0521-092111,27,C18,prep,63,63,0,1309214.091,0.686,-0.675,0.196,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.202,0.024,0.140,-0.140,-0.040,0.016,0.992,0.009,0.004,-0.024,-0.104,0.000,0.000,0.000,0.000,0,2,0,2,7,255,1440,200,0,0,-89.325,0.949,-31.501
EX0521-092111,27,C18,prep,63,63,0,1309219.091,0.686,-0.675,0.196,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.294,0.009,-0.280,0.040,0.080,0.012,1.005,0.010,0.004,0.008,-0.008,0.000,0.000,0.000,0.000,0,2,0,2,7,255,1440,200,0,0,-89.325,0.949,-31.501
EX0521-092111,27,C18,prep,63,63,0,1309224.091,0.686,-0.675,0.196,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.424,0.024,0.380,0.100,-0.160,0.013,0.983,0.009,0.000,0.024,-0.008,0.000,0.000,0.000,0.000,0,2,0,2,7,255,1440,200,0,0,-89.325,0.949,-31.501
EX0521-092111,27,C18,prep,63,63,0,1309229.092,0.686,-0.675,0.196,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.371,0.029,-0.280,-0.140,0.200,0.014,0.994,0.015,-0.016,0.024,0.010,0.000,0.000,0.000,0.000,0,2,0,2,7,255,1440,200,0,0,-89.325,0.949,-31.501
EX0521-092111,27,C18,prep,63,63,0,1309234.092,0.686,-0.675,0.196,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.264,0.028,0.140,0.040,-0.220,0.016,1.003,0.015,-0.002,-0.028,0.010,0.000,0.000,0.000,0.000,0,2,0,2,7,255,1440,200,0,0,-89.325,0.949,-31.501
