experiment_id,condition_order_index,condition_id,condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs,R_roll,R_pitch,R_yaw
EX0521-092111,4,C06,prep,79,79,0,425049.092,0.685,-0.678,0.192,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.170,0.006,0.120,0.000,-0.120,0.015,0.995,0.010,-0.004,0.004,0.006,0.000,0.000,0.000,0.000,0,2,0,2,7,255,960,300,0,0,-89.570,0.558,-31.104
EX0521-092111,4,C06,prep,79,79,0,425054.093,0.685,-0.678,0.192,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.323,0.012,0.300,0.000,-0.120,0.014,0.996,0.010,0.006,0.010,0.010,0.000,0.000,0.000,0.000,0,2,0,2,7,255,960,300,0,0,-89.570,0.557,-31.104
EX0521-092111,4,C06,prep,80,80,0,425059.092,0.685,-0.678,0.192,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.134,0.012,0.120,-0.060,0.000,0.016,0.993,0.014,0.006,0.010,0.006,0.000,0.000,0.000,0.000,0,2,0,2,7,255,960,300,0,0,-89.565,0.559,-31.104
EX0521-092111,4,C06,prep,80,80,0,425064.092,0.685,-0.678,0.192,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.255,0.010,-0.240,-0.060,0.060,0.015,0.993,0.012,-0.002,-0.010,-0.018,0.000,0.000,0.000,0.000,0,2,0,2,7,255,960,300,0,0,-89.565,0.560,-31.104
EX0521-092111,4,C06,prep,80,80,0,425069.093,0.685,-0.678,0.192,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.181,0.010,-0.180,0.020,0.000,0.014,1.000,0.010,-0.002,-0.010,-0.018,0.000,0.000,0.000,0.000,0,2,0,2,7,255,960,300,0,0,-89.566,0.559,-31.104
EX0521-092111,4,C06,prep,80,80,0,425074.092,0.685,-0.678,0.192,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.199,0.010,0.180,-0.060,-0.060,0.015,0.993,0.010,0.002,0.010,-0.014,0.000,0.000,0.000,0.000,0,2,0,2,7,255,960,300,0,0,-89.566,0.559,-31.104
EX0521-092111,4,C06,prep,80,80,0,425079.092,0.685,-0.678,0.192,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.104,0.014,-0.060,-0.060,0.060,0.016,0.990,0.011,0.010,0.010,-0.014,0.000,0.000,0.000,0.000,0,2,0,2,7,255,960,300,0,0,-89.567,0.560,-31.104
EX0521-092111,4,C06,prep,80,80,0,425084.091,0.685,-0.678,0.192,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.134,0.013,-0.120,-0.060,0.000,0.012,1.002,0.012,0.010,0.008,-0.014,0.000,0.000,0.000,0.000,0,2,0,2,7,255,960,300,0,0,-89.567,0.559,-31.104
EX0521-092111,4,C06,prep,81,81,0,425089.092,0.685,-0.678,0.192,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.693,0.008,0.620,0.080,-0.300,0.014,0.991,0.010,0.002,0.008,-0.038,0.000,0.000,0.000,0.000,0,2,0,2,7,255,960,300,0,0,-89.570,0.559,-31.104
EX0521-092111,4,C06,prep,81,81,0,425094.091,0.685,-0.678,0.192,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.933,0.008,-0.780,-0.180,0.480,0.015,0.991,0.011,0.002,0.008,-0.032,0.000,0.000,0.000,0.000,0,2,0,2,7,255,960,300,0,0,-89.567,0.559,-31.104
