experiment_id,condition_order_index,condition_id,condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs,R_roll,R_pitch,R_yaw
EX0521-092111,7,C17,prep,43,43,0,521789.092,0.685,-0.677,0.193,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,0.332,0.018,0.300,0.020,-0.140,0.015,0.995,0.010,0.014,0.012,0.006,0.000,0.000,0.000,0.000,0,2,0,2,7,255,960,250,0,0,-89.517,0.592,-31.213
EX0521-092111,7,C17,prep,43,43,0,521794.093,0.685,-0.677,0.193,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,0.961,0.020,0.360,0.880,-0.140,0.016,0.993,0.009,0.016,0.012,0.006,0.000,0.000,0.000,0.000,0,2,0,2,7,255,960,250,0,0,-89.517,0.592,-31.209
EX0521-092111,7,C17,prep,43,43,0,521799.092,0.685,-0.677,0.193,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,0.322,0.020,0.240,0.200,-0.080,0.014,0.992,0.012,0.016,0.012,-0.008,0.000,0.000,0.000,0.000,0,2,0,2,7,255,960,250,0,0,-89.517,0.592,-31.209
EX0521-092111,7,C17,prep,43,43,0,521804.093,0.685,-0.677,0.193,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,0.237,0.007,-0.120,0.200,0.040,0.013,0.992,0.016,-0.006,-0.004,-0.022,0.000,0.000,0.000,0.000,0,2,0,2,7,255,960,250,0,0,-89.510,0.592,-31.209
EX0521-092111,7,C17,prep,47,47,0,521809.091,0.685,-0.677,0.193,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,0.841,0.012,-0.800,0.140,0.220,0.016,0.993,0.012,-0.006,-0.010,-0.022,0.000,0.000,0.000,0.000,0,2,0,2,7,255,960,250,0,0,-89.506,0.593,-31.209
EX0521-092111,7,C17,prep,47,47,0,521814.091,0.685,-0.677,0.193,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,0.470,0.013,-0.440,-0.040,0.160,0.013,1.002,0.007,0.008,-0.010,-0.012,0.000,0.000,0.000,0.000,0,2,0,2,7,255,960,250,0,0,-89.507,0.592,-31.209
EX0521-092111,7,C17,prep,47,47,0,521819.091,0.685,-0.677,0.193,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,0.394,0.029,0.240,-0.280,-0.140,0.015,0.995,0.008,0.012,0.026,0.006,0.000,0.000,0.000,0.000,0,2,0,2,7,255,960,250,0,0,-89.507,0.592,-31.209
EX0521-092111,7,C17,prep,47,47,0,521824.092,0.685,-0.677,0.193,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,0.221,0.029,0.000,-0.220,-0.020,0.015,0.988,0.013,0.012,0.026,0.006,0.000,0.000,0.000,0.000,0,2,0,2,7,255,960,250,0,0,-89.507,0.592,-31.209
EX0521-092111,7,C17,prep,47,47,0,521829.092,0.685,-0.677,0.193,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,0.382,0.004,-0.360,0.080,0.100,0.015,0.997,0.012,0.000,-0.004,0.006,0.000,0.000,0.000,0.000,0,2,0,2,7,255,960,250,0,0,-89.507,0.592,-31.209
EX0521-092111,7,C17,prep,47,47,0,521834.093,0.685,-0.677,0.193,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,0.629,0.004,0.540,-0.040,-0.320,0.014,1.000,0.008,0.000,-0.004,0.030,0.000,0.000,0.000,0.000,0,2,0,2,7,255,960,250,0,0,-89.507,0.592,-31.209
EX0521-092111,7,C17,prep,65,65,0,521839.092,0.685,-0.677,0.193,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,0.424,0.006,-0.360,-0.040,0.220,0.015,0.984,0.012,0.004,-0.004,0.030,0.000,0.000,0.000,0.000,0,2,0,2,7,255,960,250,0,0,-89.508,0.593,-31.209
EX0521-092111,7,C17,prep,65,65,0,521844.091,0.685,-0.677,0.193,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,0.462,0.009,-0.440,-0.100,0.100,0.014,1.001,0.013,0.004,-0.008,0.054,0.000,0.000,0.000,0.000,0,2,0,2,7,255,960,250,0,0,-89.508,0.593,-31.209
EX0521-092111,7,C17,prep,65,65,0,521849.091,0.685,-0.677,0.193,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,1.371,0.009,1.220,0.080,-0.620,0.015,0.992,0.010,0.004,-0.008,-0.018,0.000,0.000,0.000,0.000,0,2,0,2,7,255,960,250,0,0,-89.514,0.590,-31.209
EX0521-092111,7,C17,prep,65,65,0,521854.091,0.685,-0.677,0.193,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,1.787,0.003,-1.600,-0.160,0.780,0.015,0.990,0.012,0.002,-0.002,-0.018,0.000,0.000,0.000,0.000,0,2,0,2,7,255,960,250,0,0,-89.506,0.594,-31.209
EX0521-092111,7,C17,prep,79,79,0,521859.091,0.685,-0.677,0.193,0.188,0,0,0,0,0,0,0,0,0,0.000,0,0,1.485,0.014,1.280,0.140,-0.740,0.012,1.002,0.012,0.002,0.014,-0.018,0.000,0.000,0.000,0.000,0,2,0,2,7,255,960,250,0,0,-89.513,0.590,-31.209
